balanceAccountId,businessDate,status
001107501X,Available
10000JCS,Available
10000JFG,Available
10000JRP,Available
10000MMF,Available
10000000,Available
10000001,Available
10000002,Available
10000003,Available
10000004,Available
10000005,Available
10000008,Available
11000ABF,Available
11000ABI,Available
11000ABP,Available
11000ABV,Available
11000CDX,Available
11000CMF,Available
11000CMI,Available
11000CMO,Available
11000CMP,Available
11000CMV,Available
11000CMZ,Available
11000COV,Available
11000CPF,Available
11000CPI,Available
11000CPO,Available
11000CPV,Available
11000CPZ,Available
11000CRF,Available
11000GNF,Available
11000GNV,Available
11000MBF,Available
11000MBS,Available
11000MBV,Available
11000PCL,Available
11000PFD,Available
11000PVE,Available
11000TBA,Available
11000TBF,Available
11000TBG,Available
11000TBL,Available
11000TRS,Available
11000WIS,Available
12000ABF,Available
12000ABI,Available
12000ABP,Available
12000ABV,Available
12000CDX,Available
12000CMF,Available
12000CMI,Available
12000CMV,Available
12000CMZ,Available
12000COV,Available
12000CPF,Available
12000CPI,Available
12000CPV,Available
12000CPZ,Available
12000CRF,Available
12000GNF,Available
12000GNV,Available
12000MBF,Available
12000MBS,Available
12000MBV,Available
12000PCL,Available
12000PFD,Available
12000PVE,Available
12000TBA,Available
12000TBF,Available
12000TBG,Available
12000TBL,Available
12000TRS,Available
12000WIS,Available
130000RV,Available
140000RV,Available
15000ABF,Available
15000ABI,Available
15000ABP,Available
15000ABV,Available
15000CDX,Available
15000CMF,Available
15000CMI,Available
15000CMO,Available
15000CMP,Available
15000CMV,Available
15000CMZ,Available
15000COV,Available
15000CPF,Available
15000CPI,Available
15000CPO,Available
15000CPV,Available
15000CPZ,Available
15000CRF,Available
15000GNF,Available
15000GNV,Available
15000MBF,Available
15000MBS,Available
15000MBV,Available
15000PCL,Available
15000PFD,Available
15000PVE,Available
15000TBA,Available
15000TBF,Available
15000TBG,Available
15000TBL,Available
15000TRS,Available
15000WIS,Available
16TBFAIL,Available
1600FAIL,Available
16000000,Available
16020000,Available
170000RV,Available
17000000,Available
18000TBA,Available
18000000,Available
18010000,Available
18020000,Available
18030000,Available
18040000,Available
18060000,Available
19010000,Available
19020000,Available
19060000,Available
19070000,Available
19080000,Available
21000ABF,Available
21000ABI,Available
21000ABP,Available
21000ABV,Available
21000CDX,Available
21000CMF,Available
21000CMI,Available
21000CMO,Available
21000CMP,Available
21000CMV,Available
21000CMZ,Available
21000COV,Available
21000CPF,Available
21000CPI,Available
21000CPO,Available
21000CPV,Available
21000CPZ,Available
21000CRF,Available
21000GNF,Available
21000GNV,Available
21000MBF,Available
21000MBS,Available
21000MBV,Available
21000PCL,Available
21000PFD,Available
21000PVE,Available
21000TBA,Available
21000TBF,Available
21000TBG,Available
21000TBL,Available
21000TRS,Available
21000WIS,Available
22000ABF,Available
22000ABI,Available
22000ABP,Available
22000ABV,Available
22000CDX,Available
22000CMF,Available
22000CMI,Available
22000CMV,Available
22000CMZ,Available
22000COV,Available
22000CPF,Available
22000CPI,Available
22000CPV,Available
22000CPZ,Available
22000CRF,Available
22000GNF,Available
22000GNV,Available
22000MBF,Available
22000MBS,Available
22000MBV,Available
22000PCL,Available
22000PFD,Available
22000PVE,Available
22000TBA,Available
22000TBF,Available
22000TBG,Available
22000TBL,Available
